start;end;duration;phases;nphases;jobs;njobs;days;ndays
5209304145214;5209351644820;47499606;1;1;4;1;3;1
5209351644820;5210013271299;661626479;-1;0;-1;0;3;1
5210013271299;5210066034113;52762814;0;1;4;1;3;1
5210066034113;5211232507838;1166473725;-1;0;-1;0;3;1
5211232507838;5211232508351;513;1;1;1;1;3;1
5211232508351;5211282087244;49578893;1;1;1;1;3;1
5211282087244;5211282154338;67094;1;1;1;1;3;1
5211282154338;5211901566029;619411691;-1;0;-1;0;3;1
5211901566029;5211902755187;1189158;0;1;1;1;3;1
5211902755187;5211955445129;52689942;0;1;1;1;3;1
5211955445129;5211955892644;447515;0;1;1;1;3;1
5211955892644;5212074165883;118273239;-1;0;-1;0;3;1
5212074165883;5212074509129;343246;0;1;0;1;3;1
5212074509129;5212074772191;263062;0;1;0;1;3;1
5212074772191;5212074780815;8624;0;1;0;1;3;1
5212074780815;5212074846653;65838;0;1;0;1;3;1
5212074846653;5212074893447;46794;0;1;0;1;3;1
5212074893447;5212075558627;665180;0;1;0;1;3;1
5212075558627;5212075593689;35062;0;1;0;1;3;1
5212075593689;5212098746952;23153263;0;1;0;1;3;1
5212098746952;5212098754201;7249;0;1;0;1;3;1
5212098754201;5212098768648;14447;0;1;0;1;3;1
5212098768648;5212098777668;9020;0;1;0;1;3;1
5212098777668;5212098955850;178182;0;1;0;1;3;1
5212098955850;5212099041970;86120;0;1;0;1;3;1
5212099041970;5212099075006;33036;0;1;0;1;3;1
5212099075006;5212099102599;27593;0;1;0;1;3;1
5212099102599;5213878061509;1778958910;-1;0;-1;0;3;1
5213878061509;5213879076679;1015170;1;1;3;1;3;1
5213879076679;5213943966569;64889890;1;1;3;1;3;1
5213943966569;5213945125624;1159055;1;1;3;1;3;1
5213945125624;5215513294500;1568168876;-1;0;-1;0;3;1
5215513294500;5215592975816;79681316;0;1;3;1;3;1
5215592975816;5215636987740;44011924;-1;0;-1;0;3;1
5215636987740;5215707061419;70073679;0;1;3;1;3;1
5215707061419;5249677292232;33970230813;-1;0;-1;0;3;1
5249677292232;5249724737450;47445218;1;1;2;1;3;1
5249724737450;5250390552317;665814867;-1;0;-1;0;3;1
5250390552317;5250441355574;50803257;0;1;2;1;3;1
5250441355574;7863709954220;2613268598646;-1;0;-1;0;4;1
7863709954220;7863720376851;10422631;2;1;5;1;4;1
7863720376851;7864375511073;655134222;-1;0;-1;0;4;1
7864375511073;7864385867765;10356692;2;1;5;1;4;1
7864385867765;7865040668134;654800369;-1;0;-1;0;4;1
7865040668134;7865050992154;10324020;2;1;5;1;4;1
7865050992154;7865705857138;654864984;-1;0;-1;0;4;1
7865705857138;7865716183637;10326499;2;1;5;1;4;1
7865716183637;7866371262723;655079086;-1;0;-1;0;4;1
7866371262723;7866381554651;10291928;2;1;5;1;4;1
7866381554651;7888517389938;22135835287;-1;0;-1;0;4;1
7888517389938;7888517475271;85333;3;1;7;1;4;1
7888517475271;7888517509260;33989;3;1;7;1;4;1
7888517509260;7888517622902;113642;3;1;7;1;4;1
7888517622902;7888517658678;35776;3;1;7;1;4;1
7888517658678;7888517771760;113082;3;1;7;1;4;1
7888517771760;7888517846325;74565;3;1;7;1;4;1
7888517846325;7888517939840;93515;3;1;7;1;4;1
7888517939840;7888517955812;15972;3;1;7;1;4;1
7888517955812;7888518033125;77313;3;1;7;1;4;1
7888518033125;7888518234119;200994;3;1;7;1;4;1
7888518234119;7888518452449;218330;3;1;7;1;4;1
7888518452449;7888518543543;91094;3;1;7;1;4;1
7888518543543;7888518717397;173854;3;1;7;1;4;1
7888518717397;7888518789016;71619;3;1;7;1;4;1
7888518789016;7888518892742;103726;3;1;7;1;4;1
7888518892742;7888519114712;221970;3;1;7;1;4;1
7888519114712;7888519983508;868796;3;1;7;1;4;1
7888519983508;7888520084230;100722;-1;0;-1;0;4;1
7888520084230;7888520286598;202368;3;1;7;1;4;1
7888520286598;7899054542964;10534256366;-1;0;-1;0;4;1
7899054542964;7899054651576;108612;3;1;6;1;4;1
7899054651576;7899054877013;225437;3;1;6;1;4;1
7899054877013;7899055007200;130187;3;1;6;1;4;1
7899055007200;7900671779522;1616772322;-1;0;-1;0;4;1
7900671779522;7900671863870;84348;4;1;6;1;4;1
7900671863870;7911099266007;10427402137;4;1;6;1;4;1
7911099266007;7911099395127;129120;4;1;6;1;4;1
