start;end;duration;phases;nphases;jobs;njobs;days;ndays
220152308402;220152707824;399422;2;1;11;1;1;1
220152707824;220153139869;432045;-1;0;-1;0;1;1
220153139869;220165067403;11927534;7;1;11;1;1;1
220165067403;223076378280;2911310877;-1;0;-1;0;1;1
223076378280;223076379378;1098;4;1;11;1;1;1
223076379378;223076382203;2825;-1;0;-1;0;1;1
223076382203;223076385509;3306;1;1;11;1;1;1
223076385509;223076641119;255610;-1;0;-1;0;1;1
223076641119;223100614723;23973604;8;1;11;1;1;1
223100614723;226930023403;3829408680;-1;0;-1;0;1;1
226930023403;226930024634;1231;4;1;11;1;1;1
226930024634;226930029764;5130;-1;0;-1;0;1;1
226930029764;226930033217;3453;1;1;11;1;1;1
226930033217;226930297896;264679;-1;0;-1;0;1;1
226930297896;226955643345;25345449;8;1;11;1;1;1
226955643345;230406953277;3451309932;-1;0;-1;0;1;1
230406953277;230406954409;1132;4;1;11;1;1;1
230406954409;230406957335;2926;-1;0;-1;0;1;1
230406957335;230406960613;3278;1;1;11;1;1;1
230406960613;230407194940;234327;-1;0;-1;0;1;1
230407194940;230441129801;33934861;8;1;11;1;1;1
230441129801;233873854347;3432724546;-1;0;-1;0;1;1
233873854347;233873855559;1212;4;1;11;1;1;1
233873855559;233873858752;3193;-1;0;-1;0;1;1
233873858752;233873862104;3352;1;1;11;1;1;1
233873862104;233874150132;288028;-1;0;-1;0;1;1
233874150132;233900138538;25988406;8;1;11;1;1;1
233900138538;237728213169;3828074631;-1;0;-1;0;1;1
237728213169;237728214316;1147;4;1;11;1;1;1
237728214316;237728219166;4850;-1;0;-1;0;1;1
237728219166;237728222525;3359;1;1;11;1;1;1
237728222525;237728493697;271172;-1;0;-1;0;1;1
237728493697;237753311887;24818190;8;1;11;1;1;1
237753311887;241761626811;4008314924;-1;0;-1;0;1;1
241761626811;241761627870;1059;4;1;11;1;1;1
241761627870;241761630179;2309;-1;0;-1;0;1;1
241761630179;241761633456;3277;1;1;11;1;1;1
241761633456;241761863312;229856;-1;0;-1;0;1;1
241761863312;241786758255;24894943;8;1;11;1;1;1
