start;end;duration;jobs;njobs;days;ndays
258104704581;258104704878;297;2,9;2;1;1
258104704878;258104705073;195;2,9;2;1;1
258104705073;258104705125;52;2,9;2;1;1
258104705125;258104705397;272;2,9;2;1;1
258104705397;258104705635;238;2,9;2;1;1
258104705635;258104705676;41;2,9;2;1;1
258104710747;258104710919;172;2,9;2;1;1
258104723127;258104723323;196;2,9;2;1;1
258104819727;258104819935;208;2,9;2;1;1
258104819935;258104819959;24;2,9;2;1;1
258104819959;258104820062;103;2,9;2;1;1
258104820062;258104820106;44;2,9;2;1;1
258104820106;258104820292;186;2,9;2;1;1
258104820292;258104820409;117;2,9;2;1;1
258104820409;258104820451;42;2,9;2;1;1
258104857795;258104857862;67;2,9;2;1;1
258104857862;258104857938;76;2,9;2;1;1
258104857938;258104858146;208;2,9;2;1;1
258105049918;258105049954;36;2,9;2;1;1
258105049954;258105050081;127;2,9;2;1;1
258105050081;258105050173;92;2,9;2;1;1
258105050173;258105050217;44;2,9;2;1;1
258105050217;258105050280;63;2,9;2;1;1
258105050280;258105050332;52;2,9;2;1;1
258105071650;258105071793;143;2,9;2;1;1
258105087533;258105087621;88;2,9;2;1;1
258105087621;258105087636;15;2,9;2;1;1
258105087636;258105087733;97;2,9;2;1;1
258105159881;258105160179;298;2,9;2;1;1
258105173089;258105173090;1;2,9;2;1;1
258105173090;258105173266;176;2,9;2;1;1
258105173266;258105173427;161;2,9;2;1;1
258105173427;258105173460;33;2,9;2;1;1
258105278462;258105278672;210;2,9;2;1;1
258105278672;258105278708;36;2,9;2;1;1
258105377250;258105377416;166;2,9;2;1;1
258105458167;258105458221;54;2,9;2;1;1
258105458221;258105458305;84;2,9;2;1;1
258105458305;258105458472;167;2,9;2;1;1
258105458472;258105458520;48;2,9;2;1;1
258105798449;258105798616;167;2,9;2;1;1
258105798616;258105798641;25;2,9;2;1;1
258105798641;258105798743;102;2,9;2;1;1
258105798743;258105798788;45;2,9;2;1;1
258105871604;258105871767;163;2,9;2;1;1
258105871767;258105871783;16;2,9;2;1;1
258105871783;258105871836;53;2,9;2;1;1
258105871836;258105871895;59;2,9;2;1;1
258105871895;258105872019;124;2,9;2;1;1
258105872019;258105872025;6;2,9;2;1;1
258105872025;258105872065;40;2,9;2;1;1
258106146557;258106146741;184;2,9;2;1;1
258106146741;258106146770;29;2,9;2;1;1
258106146770;258106146837;67;2,9;2;1;1
258106146837;258106146889;52;2,9;2;1;1
258106146889;258106146908;19;2,9;2;1;1
258106146908;258106146977;69;2,9;2;1;1
258106146977;258106147114;137;2,9;2;1;1
258106303408;258106303509;101;2,9;2;1;1
258106303509;258106303517;8;2,9;2;1;1
258106303517;258106303559;42;2,9;2;1;1
258106303559;258106303679;120;2,9;2;1;1
258106303679;258106303723;44;2,9;2;1;1
258106431097;258106431148;51;2,9;2;1;1
258106431148;258106431161;13;2,9;2;1;1
258106431161;258106431192;31;2,9;2;1;1
258106431192;258106431252;60;2,9;2;1;1
258106431252;258106431420;168;2,9;2;1;1
258106431420;258106431424;4;2,9;2;1;1
258106431424;258106431541;117;2,9;2;1;1
258106529079;258106529165;86;2,9;2;1;1
258106529165;258106529171;6;2,9;2;1;1
258106529171;258106529238;67;2,9;2;1;1
258106618575;258106618643;68;2,9;2;1;1
258106618643;258106618714;71;2,9;2;1;1
258106618714;258106619012;298;2,9;2;1;1
258106619012;258106619049;37;2,9;2;1;1
258106628138;258106628397;259;2,9;2;1;1
258106628397;258106628509;112;2,9;2;1;1
258106628509;258106628554;45;2,9;2;1;1
