start;end;duration;jobs;njobs;days;ndays
258096636865;258096637921;1056;2,9;2;1;1
258104672849;258104673011;162;2,9;2;1;1
258104673011;258104673208;197;2,9;2;1;1
258104673208;258104673225;17;2,9;2;1;1
258104673225;258104673238;13;2,9;2;1;1
258104673238;258104673268;30;2,9;2;1;1
258104673268;258104680673;7405;2,9;2;1;1
258104680673;258104681133;460;2,9;2;1;1
258104681133;258104681138;5;2,9;2;1;1
258104681138;258104681217;79;2,9;2;1;1
258104681217;258104681594;377;2,9;2;1;1
258104681594;258104681678;84;2,9;2;1;1
258104681678;258104681875;197;2,9;2;1;1
258104681875;258104681897;22;2,9;2;1;1
258104681897;258104681933;36;2,9;2;1;1
258104681933;258104681947;14;2,9;2;1;1
258104681947;258104682110;163;2,9;2;1;1
258104682110;258104695823;13713;2,9;2;1;1
258104695823;258104703889;8066;2,9;2;1;1
258104703889;258104704362;473;2,9;2;1;1
258104704362;258104704581;219;2,9;2;1;1
258104705676;258104705775;99;2,9;2;1;1
258104705775;258104706241;466;2,9;2;1;1
258104706241;258104706629;388;2,9;2;1;1
258104706629;258104710747;4118;2,9;2;1;1
258104710919;258104711068;149;2,9;2;1;1
258104711068;258104711386;318;2,9;2;1;1
258104711386;258104711426;40;2,9;2;1;1
258104711426;258104711713;287;2,9;2;1;1
258104711713;258104711782;69;2,9;2;1;1
258104711782;258104712160;378;2,9;2;1;1
258104712160;258104712358;198;2,9;2;1;1
258104712358;258104712529;171;2,9;2;1;1
258104712529;258104717808;5279;2,9;2;1;1
258104717808;258104719681;1873;2,9;2;1;1
258104719681;258104722555;2874;2,9;2;1;1
258104722555;258104723127;572;2,9;2;1;1
258104723323;258104723403;80;2,9;2;1;1
258104723403;258104723456;53;2,9;2;1;1
258104723456;258104723517;61;2,9;2;1;1
258104723517;258104723553;36;2,9;2;1;1
258104723553;258104723577;24;2,9;2;1;1
258104723577;258104723757;180;2,9;2;1;1
258104723757;258104723793;36;2,9;2;1;1
258104723793;258104723915;122;2,9;2;1;1
258104723915;258104724614;699;2,9;2;1;1
258104724614;258104729672;5058;2,9;2;1;1
258104729672;258104734179;4507;2,9;2;1;1
258104734179;258104735308;1129;2,9;2;1;1
258104735308;258104737890;2582;2,9;2;1;1
258104737890;258104748039;10149;2,9;2;1;1
258104748039;258104748073;34;2,9;2;1;1
258104748073;258104748769;696;2,9;2;1;1
258104748769;258104752198;3429;2,9;2;1;1
258104775390;258104775395;5;2,9;2;1;1
258104775395;258104775552;157;2,9;2;1;1
258104775552;258104775855;303;2,9;2;1;1
258104775855;258104775897;42;2,9;2;1;1
258104775897;258104775919;22;2,9;2;1;1
258104809141;258104810840;1699;2,9;2;1;1
258104810840;258104812208;1368;2,9;2;1;1
258104812208;258104818970;6762;2,9;2;1;1
258104818970;258104819375;405;2,9;2;1;1
258104819375;258104819508;133;2,9;2;1;1
258104819508;258104819727;219;2,9;2;1;1
258104820451;258104823000;2549;2,9;2;1;1
258104823000;258104827024;4024;2,9;2;1;1
258104827024;258104832327;5303;2,9;2;1;1
258104832327;258104843504;11177;2,9;2;1;1
258104843504;258104845668;2164;2,9;2;1;1
258104845668;258104847462;1794;2,9;2;1;1
258104847462;258104849070;1608;2,9;2;1;1
258104849070;258104849212;142;2,9;2;1;1
258104849212;258104849632;420;2,9;2;1;1
258104849632;258104850203;571;2,9;2;1;1
258104850203;258104852634;2431;2,9;2;1;1
258104852634;258104852912;278;2,9;2;1;1
258104852912;258104854109;1197;2,9;2;1;1
258104854109;258104855279;1170;2,9;2;1;1
258104855279;258104855424;145;2,9;2;1;1
258104855424;258104855799;375;2,9;2;1;1
258104855799;258104856422;623;2,9;2;1;1
258104856422;258104857795;1373;2,9;2;1;1
258104858146;258104858192;46;2,9;2;1;1
258104858192;258104858216;24;2,9;2;1;1
258104858216;258104858238;22;2,9;2;1;1
258104858238;258104858350;112;2,9;2;1;1
258104858350;258104858478;128;2,9;2;1;1
258104858478;258104858624;146;2,9;2;1;1
258104858624;258104859505;881;2,9;2;1;1
258104921762;258104936960;15198;2,9;2;1;1
258104936960;258104937519;559;2,9;2;1;1
258104937519;258104938517;998;2,9;2;1;1
258104938517;258104941296;2779;2,9;2;1;1
258104941296;258104948381;7085;2,9;2;1;1
258104974372;258104975452;1080;2,9;2;1;1
258104975452;258104975797;345;2,9;2;1;1
258104975797;258104979065;3268;2,9;2;1;1
258104979065;258104980932;1867;2,9;2;1;1
258104980932;258104982429;1497;2,9;2;1;1
258104988242;258104989452;1210;2,9;2;1;1
258104990628;258104992367;1739;2,9;2;1;1
258104992367;258104993235;868;2,9;2;1;1
258104993235;258104995561;2326;2,9;2;1;1
258104995561;258104996259;698;2,9;2;1;1
258104996259;258105000674;4415;2,9;2;1;1
258105000674;258105001782;1108;2,9;2;1;1
258105001782;258105001832;50;2,9;2;1;1
258105001832;258105001863;31;2,9;2;1;1
258105001863;258105002230;367;2,9;2;1;1
258105002230;258105002304;74;2,9;2;1;1
258105002304;258105002320;16;2,9;2;1;1
258105002320;258105002381;61;2,9;2;1;1
258105002381;258105003904;1523;2,9;2;1;1
258105003904;258105004407;503;2,9;2;1;1
258105004407;258105004602;195;2,9;2;1;1
258105004602;258105005277;675;2,9;2;1;1
258105005779;258105006485;706;2,9;2;1;1
258105046329;258105046456;127;2,9;2;1;1
258105046456;258105049018;2562;2,9;2;1;1
258105049018;258105049601;583;2,9;2;1;1
258105049601;258105049918;317;2,9;2;1;1
258105050332;258105050358;26;2,9;2;1;1
258105050358;258105050378;20;2,9;2;1;1
258105050378;258105050469;91;2,9;2;1;1
258105050469;258105050599;130;2,9;2;1;1
258105050599;258105050604;5;2,9;2;1;1
258105050604;258105050710;106;2,9;2;1;1
258105050710;258105050789;79;2,9;2;1;1
258105050789;258105050833;44;2,9;2;1;1
258105050833;258105050838;5;2,9;2;1;1
258105050838;258105050908;70;2,9;2;1;1
258105050908;258105050964;56;2,9;2;1;1
258105050964;258105051004;40;2,9;2;1;1
258105051004;258105051215;211;2,9;2;1;1
258105051215;258105055531;4316;2,9;2;1;1
258105055531;258105057995;2464;2,9;2;1;1
258105057995;258105063514;5519;2,9;2;1;1
258105063514;258105066809;3295;2,9;2;1;1
258105066809;258105067054;245;2,9;2;1;1
258105067054;258105069504;2450;2,9;2;1;1
258105069504;258105069555;51;2,9;2;1;1
258105069555;258105069605;50;2,9;2;1;1
258105069605;258105069658;53;2,9;2;1;1
258105069658;258105069692;34;2,9;2;1;1
258105069692;258105069715;23;2,9;2;1;1
258105069715;258105071575;1860;2,9;2;1;1
258105071575;258105071623;48;2,9;2;1;1
258105071623;258105071650;27;2,9;2;1;1
258105071793;258105071927;134;2,9;2;1;1
258105071927;258105072099;172;2,9;2;1;1
258105072099;258105072284;185;2,9;2;1;1
258105072284;258105072311;27;2,9;2;1;1
258105072311;258105072514;203;2,9;2;1;1
258105072514;258105072555;41;2,9;2;1;1
258105072555;258105074175;1620;2,9;2;1;1
258105074175;258105077195;3020;2,9;2;1;1
258105077195;258105081731;4536;2,9;2;1;1
258105081731;258105083557;1826;2,9;2;1;1
258105083557;258105085861;2304;2,9;2;1;1
258105085861;258105086887;1026;2,9;2;1;1
258105086887;258105087006;119;2,9;2;1;1
258105087006;258105087487;481;2,9;2;1;1
258105087487;258105087500;13;2,9;2;1;1
258105087500;258105087533;33;2,9;2;1;1
258105087733;258105088013;280;2,9;2;1;1
258105088013;258105088212;199;2,9;2;1;1
258105088212;258105088379;167;2,9;2;1;1
258105088379;258105088863;484;2,9;2;1;1
258105141076;258105142260;1184;2,9;2;1;1
258105142260;258105143898;1638;2,9;2;1;1
258105143898;258105144628;730;2,9;2;1;1
258105144628;258105150675;6047;2,9;2;1;1
258105150675;258105152960;2285;2,9;2;1;1
258105152960;258105153347;387;2,9;2;1;1
258105153347;258105154938;1591;2,9;2;1;1
258105154938;258105157746;2808;2,9;2;1;1
258105157746;258105158227;481;2,9;2;1;1
258105158227;258105159881;1654;2,9;2;1;1
258105160179;258105160317;138;2,9;2;1;1
258105160317;258105160319;2;2,9;2;1;1
258105160319;258105160478;159;2,9;2;1;1
258105160478;258105160862;384;2,9;2;1;1
258105160862;258105160913;51;2,9;2;1;1
258105160913;258105161142;229;2,9;2;1;1
258105161142;258105161188;46;2,9;2;1;1
258105161188;258105161351;163;2,9;2;1;1
258105161351;258105164259;2908;2,9;2;1;1
258105164259;258105165553;1294;2,9;2;1;1
258105165553;258105169468;3915;2,9;2;1;1
258105169468;258105169518;50;2,9;2;1;1
258105169518;258105171074;1556;2,9;2;1;1
258105171074;258105172989;1915;2,9;2;1;1
258105172989;258105173034;45;2,9;2;1;1
258105173034;258105173089;55;2,9;2;1;1
258105173460;258105173505;45;2,9;2;1;1
258105173505;258105173568;63;2,9;2;1;1
258105173568;258105173609;41;2,9;2;1;1
258105173609;258105173797;188;2,9;2;1;1
258105173797;258105174390;593;2,9;2;1;1
258105174390;258105175952;1562;2,9;2;1;1
258105175952;258105176204;252;2,9;2;1;1
258105176204;258105179544;3340;2,9;2;1;1
258105179544;258105180525;981;2,9;2;1;1
258105180525;258105185305;4780;2,9;2;1;1
258105185305;258105185600;295;2,9;2;1;1
258105185600;258105185704;104;2,9;2;1;1
258105185704;258105185891;187;2,9;2;1;1
258105185891;258105186520;629;2,9;2;1;1
258105186520;258105187473;953;2,9;2;1;1
258105187473;258105188305;832;2,9;2;1;1
258105188305;258105188952;647;2,9;2;1;1
258105188952;258105189630;678;2,9;2;1;1
258105189630;258105197373;7743;2,9;2;1;1
258105256214;258105257840;1626;2,9;2;1;1
258105257840;258105260660;2820;2,9;2;1;1
258105260660;258105261596;936;2,9;2;1;1
258105261596;258105261604;8;2,9;2;1;1
