start;end;duration;jobs;njobs;days;ndays
251065761198;251065775463;14265;9;1;1;1
251065775463;251065878589;103126;9;1;1;1
251065878589;251065878765;176;9;1;1;1
251065878765;251065888623;9858;9;1;1;1
251065888623;251065891686;3063;9;1;1;1
251065891686;251065902877;11191;9;1;1;1
251065902877;251065905546;2669;9;1;1;1
251065905546;251065938687;33141;9;1;1;1
251065938687;251065940801;2114;9;1;1;1
251065940801;251065950135;9334;9;1;1;1
251065950135;251065959931;9796;9;1;1;1
251065959931;251065962103;2172;9;1;1;1
251065962103;251065971176;9073;9;1;1;1
251065971176;251066001701;30525;9;1;1;1
251066001701;251066016968;15267;9;1;1;1
251066016968;251066025772;8804;9;1;1;1
251066025772;251066045475;19703;9;1;1;1
251066045475;251066055486;10011;9;1;1;1
251066055486;251066064614;9128;9;1;1;1
251066064614;251066077318;12704;9;1;1;1
251066077318;251066092651;15333;9;1;1;1
251066092651;251066137924;45273;9;1;1;1
251066137924;251066152599;14675;9;1;1;1
251066152599;251066152732;133;9;1;1;1
251066152732;251066161827;9095;9;1;1;1
251066161827;251066169168;7341;9;1;1;1
251066169168;251066177948;8780;9;1;1;1
251066177948;251066187942;9994;9;1;1;1
251066187942;251066200003;12061;9;1;1;1
251066200003;251066201243;1240;9;1;1;1
251066201243;251066202020;777;9;1;1;1
251066202020;251066202320;300;9;1;1;1
251066202320;251066209149;6829;9;1;1;1
251066209149;251066211724;2575;9;1;1;1
251066211724;251066217910;6186;9;1;1;1
251066217910;251066221613;3703;9;1;1;1
251066221613;251066222616;1003;9;1;1;1
251066222616;251066224456;1840;9;1;1;1
251066224456;251066229664;5208;9;1;1;1
251066229664;251066249153;19489;9;1;1;1
251066249153;251066253892;4739;9;1;1;1
251066253892;251066269861;15969;9;1;1;1
251066269861;251066278624;8763;9;1;1;1
251066278624;251066295489;16865;9;1;1;1
251066295489;251066305159;9670;9;1;1;1
251066305159;251066314656;9497;9;1;1;1
251066314656;251066336851;22195;9;1;1;1
251066336851;251066346190;9339;9;1;1;1
251066346190;251066354944;8754;9;1;1;1
251066354944;251066395408;40464;9;1;1;1
251066395408;251066406720;11312;9;1;1;1
251066406720;251066410562;3842;9;1;1;1
251066410562;251066420066;9504;9;1;1;1
251066420066;251066422831;2765;9;1;1;1
251066422831;251066473065;50234;9;1;1;1
251066473065;251066488374;15309;9;1;1;1
251066488374;251066492061;3687;9;1;1;1
251066492061;251066523032;30971;9;1;1;1
251066523032;251066529933;6901;9;1;1;1
251066529933;251066535458;5525;9;1;1;1
251066535458;251066539785;4327;9;1;1;1
251066539785;251066581615;41830;9;1;1;1
251066581615;251066581646;31;9;1;1;1
251066581646;251066589610;7964;9;1;1;1
251066589610;251066592676;3066;9;1;1;1
251066592676;251066611302;18626;9;1;1;1
251066611302;251066619964;8662;9;1;1;1
