start;end;duration;jobs;njobs;days;ndays
258110765669;258110766280;611;2,9;2;1;1
258111072864;258111075381;2517;2,9;2;1;1
258111075381;258111079214;3833;2,9;2;1;1
258111079214;258111081498;2284;2,9;2;1;1
258111081498;258111088108;6610;2,9;2;1;1
258111088108;258111088285;177;2,9;2;1;1
258111088285;258111089460;1175;2,9;2;1;1
258111089460;258111089850;390;2,9;2;1;1
258111089850;258111095953;6103;2,9;2;1;1
258111095953;258111097555;1602;2,9;2;1;1
258111097555;258111099680;2125;2,9;2;1;1
258111099680;258111099743;63;2,9;2;1;1
258111099743;258111103458;3715;2,9;2;1;1
258111103458;258111106555;3097;2,9;2;1;1
258111106555;258111106713;158;2,9;2;1;1
258111106713;258111107490;777;2,9;2;1;1
258111107490;258111108253;763;2,9;2;1;1
258111108253;258111110077;1824;2,9;2;1;1
258111110077;258111110388;311;2,9;2;1;1
258111110388;258111117334;6946;2,9;2;1;1
258111117334;258111120563;3229;2,9;2;1;1
258111120563;258111121651;1088;2,9;2;1;1
258111121651;258111122507;856;2,9;2;1;1
258111122507;258111123195;688;2,9;2;1;1
258111185795;258111189241;3446;2,9;2;1;1
258111189241;258111193172;3931;2,9;2;1;1
258111193172;258111196289;3117;2,9;2;1;1
258111196894;258111197037;143;2,9;2;1;1
258111197037;258111212547;15510;2,9;2;1;1
258111212547;258111212881;334;2,9;2;1;1
258111212881;258111214532;1651;2,9;2;1;1
258111214532;258111219560;5028;2,9;2;1;1
258111219560;258111221401;1841;2,9;2;1;1
258111221401;258111221655;254;2,9;2;1;1
258111221655;258111222428;773;2,9;2;1;1
258111222428;258111223658;1230;2,9;2;1;1
258111223764;258111224461;697;2,9;2;1;1
258111224461;258111225559;1098;2,9;2;1;1
258111225559;258111226203;644;2,9;2;1;1
258111226203;258111231209;5006;2,9;2;1;1
258111231209;258111231287;78;2,9;2;1;1
258111382869;258111386422;3553;2,9;2;1;1
258111386422;258111386942;520;2,9;2;1;1
258111388111;258111390169;2058;2,9;2;1;1
258111518910;258111520701;1791;2,9;2;1;1
258111591607;258111594206;2599;2,9;2;1;1
258111594206;258111601595;7389;2,9;2;1;1
258111601595;258111602758;1163;2,9;2;1;1
258111602758;258111613811;11053;2,9;2;1;1
258111613811;258111614563;752;2,9;2;1;1
258111614563;258111614821;258;2,9;2;1;1
258111614821;258111618120;3299;2,9;2;1;1
258111618120;258111619859;1739;2,9;2;1;1
258111619859;258111623348;3489;2,9;2;1;1
258111623348;258111624336;988;2,9;2;1;1
258111624336;258111624490;154;2,9;2;1;1
258111624667;258111624706;39;2,9;2;1;1
258111624835;258111625171;336;2,9;2;1;1
258111625171;258111625416;245;2,9;2;1;1
258111625416;258111626103;687;2,9;2;1;1
258111626103;258111626525;422;2,9;2;1;1
258111626525;258111628131;1606;2,9;2;1;1
258111628131;258111633852;5721;2,9;2;1;1
258111633852;258111640415;6563;2,9;2;1;1
258111640415;258111640866;451;2,9;2;1;1
258111640866;258111641840;974;2,9;2;1;1
258111641840;258111643696;1856;2,9;2;1;1
258111815793;258111816211;418;2,9;2;1;1
258111816211;258111816837;626;2,9;2;1;1
258111816837;258111825873;9036;2,9;2;1;1
258111825873;258111825884;11;2,9;2;1;1
258111825884;258111828676;2792;2,9;2;1;1
258111828676;258111829303;627;2,9;2;1;1
258111829303;258111831281;1978;2,9;2;1;1
258111831281;258111831924;643;2,9;2;1;1
258111831924;258111832105;181;2,9;2;1;1
258111832105;258111832721;616;2,9;2;1;1
258111876235;258111879575;3340;2,9;2;1;1
258111879575;258111881393;1818;2,9;2;1;1
258111881393;258111888047;6654;2,9;2;1;1
258111891220;258111896275;5055;2,9;2;1;1
258111896275;258111896546;271;2,9;2;1;1
258111896546;258111898887;2341;2,9;2;1;1
258111898887;258111900042;1155;2,9;2;1;1
258111900249;258111900286;37;2,9;2;1;1
258111900466;258111904899;4433;2,9;2;1;1
258111904899;258111908714;3815;2,9;2;1;1
258111908714;258111908827;113;2,9;2;1;1
258111908827;258111909030;203;2,9;2;1;1
258111909030;258111910950;1920;2,9;2;1;1
258111978608;258112005764;27156;2,9;2;1;1
258112070973;258112073268;2295;2,9;2;1;1
258112073268;258112082938;9670;2,9;2;1;1
258112082938;258112083536;598;2,9;2;1;1
258112083536;258112089980;6444;2,9;2;1;1
258112089980;258112095912;5932;2,9;2;1;1
258112095912;258112096485;573;2,9;2;1;1
258112096485;258112097852;1367;2,9;2;1;1
258112097852;258112100630;2778;2,9;2;1;1
258112100630;258112101267;637;2,9;2;1;1
258112101267;258112106030;4763;2,9;2;1;1
258112106030;258112111533;5503;2,9;2;1;1
258112111533;258112112131;598;2,9;2;1;1
258112112131;258112119581;7450;2,9;2;1;1
258112119581;258112120680;1099;2,9;2;1;1
258112120680;258112121630;950;2,9;2;1;1
258112121630;258112122435;805;2,9;2;1;1
258112122435;258112122961;526;2,9;2;1;1
258112125705;258112126230;525;2,9;2;1;1
258112126230;258112127044;814;2,9;2;1;1
258112127044;258112127199;155;2,9;2;1;1
258112127199;258112128867;1668;2,9;2;1;1
258112128867;258112128973;106;2,9;2;1;1
258112129760;258112130510;750;2,9;2;1;1
258112167062;258112168121;1059;2,9;2;1;1
258112170134;258112170940;806;2,9;2;1;1
258112170940;258112172536;1596;2,9;2;1;1
258112172536;258112172987;451;2,9;2;1;1
258112175641;258112176231;590;2,9;2;1;1
258112176231;258112177106;875;2,9;2;1;1
258112177106;258112178415;1309;2,9;2;1;1
258112178415;258112178727;312;2,9;2;1;1
258112178727;258112179749;1022;2,9;2;1;1
258112180605;258112183057;2452;2,9;2;1;1
258112183057;258112184403;1346;2,9;2;1;1
258112184403;258112185113;710;2,9;2;1;1
258112185113;258112185525;412;2,9;2;1;1
258112185525;258112185777;252;2,9;2;1;1
258112185777;258112189177;3400;2,9;2;1;1
258112189177;258112190159;982;2,9;2;1;1
258112190159;258112192101;1942;2,9;2;1;1
258112192101;258112192729;628;2,9;2;1;1
258112192729;258112193749;1020;2,9;2;1;1
258112193749;258112194840;1091;2,9;2;1;1
258112194840;258112198582;3742;2,9;2;1;1
258112198582;258112199756;1174;2,9;2;1;1
258112199756;258112200409;653;2,9;2;1;1
258112200409;258112200489;80;2,9;2;1;1
258112203807;258112204356;549;2,9;2;1;1
258112242912;258112247126;4214;2,9;2;1;1
258112290574;258112291195;621;2,9;2;1;1
258112359941;258112360497;556;2,9;2;1;1
258112407081;258112407924;843;2,9;2;1;1
258112558507;258112560375;1868;2,9;2;1;1
258112560375;258112563723;3348;2,9;2;1;1
258112563723;258112564178;455;2,9;2;1;1
258112564178;258112564486;308;2,9;2;1;1
258112564486;258112568470;3984;2,9;2;1;1
258112568470;258112573361;4891;2,9;2;1;1
258112573361;258112573640;279;2,9;2;1;1
258112573855;258112573978;123;2,9;2;1;1
258112574145;258112575430;1285;2,9;2;1;1
258112575430;258112576336;906;2,9;2;1;1
258112576336;258112581372;5036;2,9;2;1;1
258112581372;258112582244;872;2,9;2;1;1
258112583076;258112584707;1631;2,9;2;1;1
258112584707;258112585334;627;2,9;2;1;1
258112863249;258112869008;5759;2,9;2;1;1
258112869008;258112872246;3238;2,9;2;1;1
258112872705;258112872899;194;2,9;2;1;1
258112873321;258112873445;124;2,9;2;1;1
258112873842;258112882724;8882;2,9;2;1;1
258113011118;258113012055;937;2,9;2;1;1
258113012055;258113012119;64;2,9;2;1;1
