start;end;duration;jobs;njobs;days;ndays
258133486925;258133489291;2366;9;1;1;1
258133489291;258133498021;8730;9;1;1;1
258133498021;258133499439;1418;9;1;1;1
258133499439;258133501383;1944;9;1;1;1
258133501383;258133501386;3;9;1;1;1
258133501386;258133501650;264;9;1;1;1
258133501650;258133501814;164;9;1;1;1
258133501814;258133502402;588;9;1;1;1
258133502402;258133503621;1219;9;1;1;1
258133503621;258133513097;9476;9;1;1;1
258133513097;258133513124;27;9;1;1;1
258133513124;258133515298;2174;9;1;1;1
258133582749;258133591752;9003;9;1;1;1
258133591752;258133601628;9876;9;1;1;1
258133602174;258133611201;9027;9;1;1;1
258133611201;258133654326;43125;9;1;1;1
258133707912;258133736942;29030;9;1;1;1
258133738033;258133739220;1187;9;1;1;1
258133739792;258133753847;14055;9;1;1;1
258133753847;258133780456;26609;9;1;1;1
258133780456;258133813790;33334;9;1;1;1
258133814285;258133840914;26629;9;1;1;1
