start;end;duration;jobs;njobs;days;ndays
7888517389938;7888517475271;85333;7;1;4;1
7888517475271;7888517509260;33989;7;1;4;1
7888517509260;7888517622902;113642;7;1;4;1
7888517622902;7888517658678;35776;7;1;4;1
7888517658678;7888517771760;113082;7;1;4;1
7888517771760;7888517846325;74565;7;1;4;1
7888517846325;7888517939840;93515;7;1;4;1
7888517939840;7888517955812;15972;7;1;4;1
7888517955812;7888518033125;77313;7;1;4;1
7888518033125;7888518234119;200994;7;1;4;1
7888518234119;7888518452449;218330;7;1;4;1
7888518452449;7888518543543;91094;7;1;4;1
7888518543543;7888518717397;173854;7;1;4;1
7888518717397;7888518789016;71619;7;1;4;1
7888518789016;7888518892742;103726;7;1;4;1
7888518892742;7888519114712;221970;7;1;4;1
7888519114712;7888519983508;868796;7;1;4;1
7888520084230;7888520286598;202368;7;1;4;1
7899054542964;7899054651576;108612;6;1;4;1
7899054651576;7899054877013;225437;6;1;4;1
7899054877013;7899055007200;130187;6;1;4;1
