start;end;duration;phases;nphases;jobs;njobs;days;ndays
252854455600;252854635545;179945;0;1;2;1;3;1
252854635545;252854637114;1569;0;1;2;1;3;1
252854637114;252854773357;136243;0;1;2;1;3;1
252854773357;252855648564;875207;0,2;2;2;1;3;1
252855648564;252855667473;18909;0;1;2;1;3;1
252855667473;252855686123;18650;0;1;2;1;3;1
252855686123;252855691281;5158;0;1;2;1;3;1
252855691281;252855891191;199910;0;1;2;1;3;1
252855891191;252856121574;230383;0;1;2;1;3;1
252856121574;252856785101;663527;0,1;2;2;1;3;1
252856785101;252856786767;1666;0,1;2;2;1;3;1
252856786767;252856832423;45656;0,1;2;2;1;3;1
252856832423;252856916559;84136;0,1;2;2;1;3;1
252856916559;252856916570;11;0,1;2;2;1;3;1
252856916570;252856916587;17;0,1;2;2;1;3;1
252856916587;252856916617;30;0,1;2;2;1;3;1
252856916617;252856916633;16;0,1;2;2;1;3;1
252856916633;252856916663;30;0,1;2;2;1;3;1
252856916663;252856916717;54;0,1;2;2;1;3;1
252856916717;252856917696;979;0,1;2;2;1;3;1
252856917696;252856917735;39;0,1;2;2;1;3;1
252856917735;252856917841;106;0,1;2;2;1;3;1
252856917841;252856917859;18;0,1;2;2;1;3;1
252856917859;252856917894;35;0,1;2;2;1;3;1
252856917894;252856917997;103;0,1;2;2;1;3;1
252856917997;252856918118;121;0,1;2;2;1;3;1
252856918118;252862407591;5489473;0,1;2;2;1;3;1
252862407591;254131044434;1268636843;0,1;2;2;1;3;1
254131044434;257763390768;3632346334;1;1;2;1;3;1
257763390768;257810856778;47466010;0,1;2;0,2;2;3;1
257810856778;258103810609;292953831;1;1;2;1;3;1
258103810609;258457559852;353749243;-1;0;-1;0;3;1
258457559852;258508445810;50885958;1;1;0;1;3;1
258508445810;258779767176;271321366;-1;0;-1;0;3;1
258779767176;258814211978;34444802;0;1;1;1;3;1
258814211978;262296170660;3481958682;-1;0;-1;0;3;1
262296170660;262354571012;58400352;1;1;1;1;3;1
262354571012;7863709954220;7601355383208;-1;0;-1;0;4;1
7863709954220;7863720376851;10422631;3;1;3;1;4;1
7863720376851;7864375511073;655134222;-1;0;-1;0;4;1
7864375511073;7864385867765;10356692;3;1;3;1;4;1
7864385867765;7865040668134;654800369;-1;0;-1;0;4;1
7865040668134;7865050992154;10324020;3;1;3;1;4;1
7865050992154;7865705857138;654864984;-1;0;-1;0;4;1
7865705857138;7865716183637;10326499;3;1;3;1;4;1
7865716183637;7866371262723;655079086;-1;0;-1;0;4;1
7866371262723;7866381554651;10291928;3;1;3;1;4;1
7866381554651;7888517389938;22135835287;-1;0;-1;0;4;1
7888517389938;7888517475271;85333;4;1;5;1;4;1
7888517475271;7888517509260;33989;4;1;5;1;4;1
7888517509260;7888517622902;113642;4;1;5;1;4;1
7888517622902;7888517658678;35776;4;1;5;1;4;1
7888517658678;7888517771760;113082;4;1;5;1;4;1
7888517771760;7888517846325;74565;4;1;5;1;4;1
7888517846325;7888517939840;93515;4;1;5;1;4;1
7888517939840;7888517955812;15972;4;1;5;1;4;1
7888517955812;7888518033125;77313;4;1;5;1;4;1
7888518033125;7888518234119;200994;4;1;5;1;4;1
7888518234119;7888518452449;218330;4;1;5;1;4;1
7888518452449;7888518543543;91094;4;1;5;1;4;1
7888518543543;7888518717397;173854;4;1;5;1;4;1
7888518717397;7888518789016;71619;4;1;5;1;4;1
7888518789016;7888518892742;103726;4;1;5;1;4;1
7888518892742;7888519114712;221970;4;1;5;1;4;1
7888519114712;7888519983508;868796;4;1;5;1;4;1
7888519983508;7888520084230;100722;-1;0;-1;0;4;1
7888520084230;7888520286598;202368;4;1;5;1;4;1
7888520286598;7899054542964;10534256366;-1;0;-1;0;4;1
7899054542964;7899054651576;108612;4;1;4;1;4;1
7899054651576;7899054877013;225437;4;1;4;1;4;1
7899054877013;7899055007200;130187;4;1;4;1;4;1
7899055007200;7900671779522;1616772322;-1;0;-1;0;4;1
7900671779522;7900671863870;84348;5;1;4;1;4;1
7900671863870;7911099266007;10427402137;5;1;4;1;4;1
7911099266007;7911099395127;129120;5;1;4;1;4;1
