start;end;duration;phases;nphases;jobs;njobs;days;ndays
220152308402;220152707824;399422;2;1;11;1;3;1
220152707824;220153139869;432045;-1;0;-1;0;-1;0
220153139869;220165067403;11927534;7;1;11;1;3;1
220165067403;223076378280;2911310877;-1;0;-1;0;-1;0
223076378280;223076379378;1098;4;1;11;1;3;1
223076379378;223076382203;2825;-1;0;-1;0;-1;0
223076382203;223076385509;3306;1;1;11;1;3;1
223076385509;223076641119;255610;-1;0;-1;0;-1;0
223076641119;223100614723;23973604;8;1;11;1;3;1
223100614723;226930023403;3829408680;-1;0;-1;0;-1;0
226930023403;226930024634;1231;4;1;11;1;3;1
226930024634;226930029764;5130;-1;0;-1;0;-1;0
226930029764;226930033217;3453;1;1;11;1;3;1
226930033217;226930297896;264679;-1;0;-1;0;-1;0
226930297896;226955643345;25345449;8;1;11;1;3;1
226955643345;230406953277;3451309932;-1;0;-1;0;-1;0
230406953277;230406954409;1132;4;1;11;1;3;1
230406954409;230406957335;2926;-1;0;-1;0;-1;0
230406957335;230406960613;3278;1;1;11;1;3;1
